"date","cnt","reinf","third","fourth"
2020-10-10,796,5,0,0
2020-10-11,571,3,0,0
2020-10-12,2101,17,0,0
2020-10-13,2098,13,0,0
2020-10-14,2160,15,0,0
2020-10-15,1935,8,0,0
2020-10-16,1867,16,0,0
2020-10-17,881,6,0,0
2020-10-18,486,3,0,0
2020-10-19,2433,15,0,0
2020-10-20,2158,21,0,0
2020-10-21,1982,20,0,0
2020-10-22,1976,19,0,0
2020-10-23,1754,15,0,0
2020-10-24,900,6,0,0
2020-10-25,448,2,0,0
2020-10-26,2019,38,0,0
2020-10-27,2047,19,0,0
2020-10-28,1949,24,0,0
2020-10-29,1965,17,0,0
2020-10-30,1668,14,0,0
2020-10-31,850,5,0,0
2020-11-01,478,7,0,0
2020-11-02,1849,19,0,0
2020-11-03,2100,21,0,0
2020-11-04,1716,20,0,0
2020-11-05,1970,19,0,0
2020-11-06,1891,19,0,0
2020-11-07,1395,13,0,0
2020-11-08,594,7,0,0
2020-11-09,2345,18,0,0
2020-11-10,2590,25,0,0
2020-11-11,2173,28,0,0
2020-11-12,2424,23,0,0
2020-11-13,2317,32,0,0
2020-11-14,1524,14,0,0
2020-11-15,820,7,0,0
2020-11-16,3106,23,0,0
2020-11-17,2875,31,0,0
2020-11-18,2934,33,0,0
2020-11-19,2933,22,0,0
2020-11-20,3212,29,0,0
2020-11-21,1738,15,0,0
2020-11-22,1028,8,0,0
2020-11-23,3743,32,0,0
2020-11-24,3876,38,0,0
2020-11-25,3785,37,0,0
2020-11-26,3440,27,0,0
2020-11-27,3330,28,0,0
2020-11-28,1887,13,0,0
2020-11-29,1205,10,0,0
2020-11-30,4500,49,0,0
2020-12-01,4992,59,0,0
2020-12-02,5227,56,0,0
2020-12-03,4727,46,0,0
2020-12-04,5383,49,0,0
2020-12-05,3667,32,0,0
2020-12-06,1761,18,0,0
2020-12-07,7474,56,0,0
2020-12-08,8470,71,0,0
2020-12-09,8721,75,0,0
2020-12-10,9259,77,1,0
2020-12-11,8779,76,0,0
2020-12-12,5402,42,0,0
2020-12-13,3597,27,0,0
2020-12-14,11013,91,0,0
2020-12-15,11482,99,0,0
2020-12-16,6344,48,0,0
2020-12-17,12265,106,0,0
2020-12-18,12703,99,1,0
2020-12-19,7540,58,0,0
2020-12-20,5322,35,0,0
2020-12-21,15665,133,0,0
2020-12-22,15817,138,0,0
2020-12-23,15317,116,0,0
2020-12-24,12910,114,0,0
2020-12-25,5025,42,0,0
2020-12-26,6714,46,0,0
2020-12-27,6394,45,0,0
2020-12-28,19971,175,1,0
2020-12-29,21275,145,0,0
2020-12-30,20933,170,0,0
2020-12-31,18894,145,0,0
2021-01-01,9501,63,0,0
2021-01-02,11966,92,0,0
2021-01-03,8822,80,0,0
2021-01-04,24134,199,0,0
2021-01-05,26644,238,0,0
2021-01-06,23902,222,0,0
2021-01-07,22186,159,0,0
2021-01-08,20810,148,0,0
2021-01-09,13591,88,0,0
2021-01-10,8614,64,0,0
2021-01-11,19231,168,0,0
2021-01-12,20083,155,0,0
2021-01-13,18008,118,1,0
2021-01-14,15198,130,0,0
2021-01-15,13342,83,0,0
2021-01-16,8099,63,0,0
2021-01-17,5041,21,0,0
2021-01-18,11881,83,0,0
2021-01-19,12216,97,0,0
2021-01-20,10284,85,0,0
2021-01-21,9008,76,0,0
2021-01-22,8232,69,0,0
2021-01-23,4654,25,0,0
2021-01-24,2410,15,0,0
2021-01-25,6877,66,0,0
2021-01-26,6814,59,0,0
2021-01-27,5615,57,0,0
2021-01-28,4641,52,0,0
2021-01-29,4269,50,0,0
2021-01-30,2303,16,1,0
2021-01-31,1413,9,0,0
2021-02-01,4523,51,0,0
2021-02-02,4210,41,0,0
2021-02-03,3427,30,1,0
2021-02-04,3067,27,0,0
2021-02-05,2880,29,0,0
2021-02-06,1365,15,0,0
2021-02-07,1030,8,0,0
2021-02-08,3241,45,0,0
2021-02-09,2893,33,0,0
2021-02-10,2519,24,0,0
2021-02-11,2336,30,0,0
2021-02-12,2154,23,0,0
2021-02-13,935,4,0,0
2021-02-14,659,2,0,0
2021-02-15,2275,27,0,0
2021-02-16,2095,19,1,0
2021-02-17,1783,14,0,0
2021-02-18,1691,22,0,0
2021-02-19,1660,20,0,0
2021-02-20,838,15,0,0
2021-02-21,534,2,1,0
2021-02-22,1941,38,0,0
2021-02-23,1744,23,0,0
2021-02-24,1685,24,0,0
2021-02-25,1460,22,0,0
2021-02-26,1349,19,0,0
2021-02-27,654,6,0,0
2021-02-28,429,6,0,0
2021-03-01,1558,25,0,0
2021-03-02,1519,27,0,0
2021-03-03,1285,26,0,0
2021-03-04,1203,19,0,0
2021-03-05,1250,22,0,0
2021-03-06,558,8,0,0
2021-03-07,439,4,0,0
2021-03-08,1480,30,0,0
2021-03-09,1502,14,0,0
2021-03-10,1186,18,0,0
2021-03-11,1197,17,0,0
2021-03-12,1236,15,0,0
2021-03-13,511,4,0,0
2021-03-14,332,9,0,0
2021-03-15,1488,36,0,0
2021-03-16,1374,27,0,0
2021-03-17,1305,18,0,0
2021-03-18,1149,17,0,0
2021-03-19,1162,23,0,0
2021-03-20,622,10,0,0
2021-03-21,417,9,0,0
2021-03-22,483,9,0,0
2021-03-23,1477,32,0,0
2021-03-24,1415,25,0,0
2021-03-25,1173,17,0,0
2021-03-26,1153,24,0,0
2021-03-27,572,13,0,0
2021-03-28,394,8,0,0
2021-03-29,1521,30,1,0
2021-03-30,1400,28,0,0
2021-03-31,1205,19,0,0
2021-04-01,1065,20,0,0
2021-04-02,364,5,0,0
2021-04-03,498,12,0,0
2021-04-04,297,8,0,0
2021-04-05,506,16,0,0
2021-04-06,1465,44,0,0
2021-04-07,1410,27,0,0
2021-04-08,1216,19,0,0
2021-04-09,1196,37,0,0
2021-04-10,577,11,0,0
2021-04-11,453,14,0,0
2021-04-12,1638,46,2,0
2021-04-13,1480,41,0,0
2021-04-14,1337,24,0,0
2021-04-15,1476,34,0,0
2021-04-16,1291,32,0,0
2021-04-17,771,13,0,0
2021-04-18,410,12,0,0
2021-04-19,1696,43,0,0
2021-04-20,1609,27,2,0
2021-04-21,1646,31,0,0
2021-04-22,1396,42,1,0
2021-04-23,1311,24,0,0
2021-04-24,675,8,0,0
2021-04-25,443,8,0,0
2021-04-26,1658,40,0,0
2021-04-27,623,24,0,0
2021-04-28,1809,44,0,0
2021-04-29,1673,34,0,0
2021-04-30,1650,32,1,0
2021-05-01,704,21,0,0
2021-05-02,602,9,0,0
2021-05-03,2234,57,1,0
2021-05-04,2190,42,1,0
2021-05-05,2153,42,0,0
2021-05-06,2274,37,0,0
2021-05-07,2219,44,0,0
2021-05-08,1156,22,0,0
2021-05-09,832,5,0,0
2021-05-10,2937,62,0,0
2021-05-11,3526,63,1,0
2021-05-12,3148,46,1,0
2021-05-13,2813,66,1,0
2021-05-14,3093,58,0,0
2021-05-15,1842,30,0,0
2021-05-16,1149,21,0,0
2021-05-17,3670,79,1,0
2021-05-18,3733,74,0,0
2021-05-19,3659,60,0,0
2021-05-20,3880,76,0,0
2021-05-21,4154,76,0,0
2021-05-22,2192,19,1,0
2021-05-23,1467,26,1,0
2021-05-24,4862,93,0,0
2021-05-25,4723,63,1,0
2021-05-26,4833,78,1,0
2021-05-27,4886,76,0,0
2021-05-28,4705,80,2,0
2021-05-29,2693,39,2,0
2021-05-30,1555,27,0,0
2021-05-31,6025,99,4,0
2021-06-01,5592,89,0,0
2021-06-02,5480,106,2,0
2021-06-03,5727,99,1,0
2021-06-04,5954,102,0,0
2021-06-05,3430,63,0,0
2021-06-06,2192,39,1,0
2021-06-07,8938,200,1,0
2021-06-08,9793,166,2,0
2021-06-09,8783,161,0,0
2021-06-10,9348,157,1,0
2021-06-11,9854,151,3,0
2021-06-12,6354,84,1,0
2021-06-13,3746,62,0,0
2021-06-14,14135,277,3,0
2021-06-15,14693,245,0,0
2021-06-16,7255,98,2,0
2021-06-17,16420,286,4,0
2021-06-18,16447,251,0,0
2021-06-19,9134,152,2,0
2021-06-20,5736,88,1,0
2021-06-21,19052,350,3,0
2021-06-22,19596,318,3,0
2021-06-23,19008,330,1,0
2021-06-24,18594,331,1,0
2021-06-25,17838,285,4,0
2021-06-26,10760,152,0,0
2021-06-27,6847,105,1,0
2021-06-28,22115,454,4,0
2021-06-29,22440,428,2,0
2021-06-30,25089,433,6,0
2021-07-01,26852,443,7,0
2021-07-02,21262,340,4,0
2021-07-03,12854,198,4,0
2021-07-04,7113,104,2,0
2021-07-05,24341,464,5,0
2021-07-06,24350,464,3,0
2021-07-07,24112,394,3,0
2021-07-08,22003,404,4,0
2021-07-09,19709,301,2,0
2021-07-10,11150,155,2,0
2021-07-11,5827,86,0,0
2021-07-12,18547,374,5,0
2021-07-13,18523,283,0,0
2021-07-14,16575,265,4,0
2021-07-15,14173,240,2,0
2021-07-16,13959,249,3,0
2021-07-17,7040,111,1,0
2021-07-18,4042,65,2,0
2021-07-19,17728,310,2,0
2021-07-20,16521,306,2,0
2021-07-21,13919,273,3,1
2021-07-22,12478,237,4,0
2021-07-23,11422,267,6,0
2021-07-24,5851,124,0,0
2021-07-25,3885,61,0,0
2021-07-26,18381,348,4,0
2021-07-27,14915,247,3,0
2021-07-28,13239,266,1,0
2021-07-29,12831,230,1,0
2021-07-30,11851,202,4,0
2021-07-31,6504,96,1,0
2021-08-01,3359,49,3,0
2021-08-02,14902,277,7,0
2021-08-03,15075,327,3,0
2021-08-04,14737,304,4,0
2021-08-05,13472,276,3,0
2021-08-06,13004,236,0,0
2021-08-07,6661,136,1,0
2021-08-08,3772,63,0,0
2021-08-09,4310,73,1,0
2021-08-10,15992,288,2,0
2021-08-11,16231,303,4,0
2021-08-12,15027,259,2,0
2021-08-13,14146,289,1,0
2021-08-14,7837,123,1,0
2021-08-15,3973,64,0,0
2021-08-16,15135,321,5,0
2021-08-17,16158,307,6,0
2021-08-18,15555,302,1,0
2021-08-19,14829,290,4,0
2021-08-20,13565,217,5,0
2021-08-21,7674,103,2,0
2021-08-22,4124,62,0,0
2021-08-23,13760,294,1,0
2021-08-24,14281,266,2,0
2021-08-25,12951,205,3,0
2021-08-26,11666,240,3,0
2021-08-27,10229,167,3,0
2021-08-28,5580,86,2,0
2021-08-29,3353,52,0,0
2021-08-30,9576,171,1,0
2021-08-31,9945,168,3,0
2021-09-01,9245,162,2,0
2021-09-02,8491,157,1,0
2021-09-03,7386,143,2,0
2021-09-04,3881,69,0,0
2021-09-05,2376,40,0,0
2021-09-06,7325,160,1,0
2021-09-07,6649,138,4,0
2021-09-08,5980,105,0,0
2021-09-09,5538,90,1,0
2021-09-10,5033,122,2,0
2021-09-11,2511,50,2,0
2021-09-12,1337,29,0,0
2021-09-13,5067,110,3,0
2021-09-14,4744,104,0,0
2021-09-15,3958,84,1,0
2021-09-16,3267,64,2,0
2021-09-17,2767,66,1,0
2021-09-18,1419,34,0,0
2021-09-19,959,28,1,0
2021-09-20,3149,71,1,0
2021-09-21,2832,67,1,0
2021-09-22,2390,43,1,0
2021-09-23,2047,43,2,0
2021-09-24,774,21,0,0
2021-09-25,710,30,1,0
2021-09-26,539,21,1,0
2021-09-27,2038,51,0,0
2021-09-28,1850,39,1,0
2021-09-29,1605,45,0,0
2021-09-30,1310,49,0,0
2021-10-01,1152,28,1,0
2021-10-02,490,21,0,0
2021-10-03,368,18,0,0
2021-10-04,1242,43,0,0
2021-10-05,1007,34,1,0
2021-10-06,957,31,1,0
2021-10-07,880,32,1,0
2021-10-08,757,20,0,0
2021-10-09,392,13,0,0
2021-10-10,212,16,0,0
2021-10-11,990,45,1,0
2021-10-12,886,40,2,0
2021-10-13,764,30,0,0
2021-10-14,646,28,0,0
2021-10-15,603,28,1,0
2021-10-16,261,15,0,0
2021-10-17,177,14,0,0
2021-10-18,651,42,2,0
2021-10-19,545,26,0,0
2021-10-20,512,26,0,0
2021-10-21,461,20,0,0
2021-10-22,385,14,0,0
2021-10-23,177,11,1,0
2021-10-24,159,9,0,0
2021-10-25,454,17,1,0
2021-10-26,443,18,0,0
2021-10-27,338,20,2,0
2021-10-28,336,8,1,0
2021-10-29,262,15,0,0
2021-10-30,134,13,0,0
2021-10-31,113,6,1,0
2021-11-01,146,6,1,0
2021-11-02,382,28,0,0
2021-11-03,321,34,0,0
2021-11-04,317,23,1,0
2021-11-05,270,21,0,0
2021-11-06,139,19,0,0
2021-11-07,105,12,0,0
2021-11-08,352,36,0,0
2021-11-09,295,29,2,0
2021-11-10,345,27,0,0
2021-11-11,318,17,0,0
2021-11-12,329,20,1,0
2021-11-13,135,12,1,0
2021-11-14,145,18,2,0
2021-11-15,414,38,1,0
2021-11-16,545,56,1,0
2021-11-17,662,59,0,0
2021-11-18,814,75,1,0
2021-11-19,917,81,2,0
2021-11-20,531,53,2,0
2021-11-21,364,36,2,0
2021-11-22,1493,149,1,0
2021-11-23,2220,244,3,0
2021-11-24,2936,345,5,0
2021-11-25,3504,413,12,0
2021-11-26,3640,390,8,0
2021-11-27,2337,255,2,0
2021-11-28,1745,191,4,0
2021-11-29,7954,1021,19,1
2021-11-30,12343,1461,44,1
2021-12-01,15625,1949,23,0
2021-12-02,16999,2246,46,2
2021-12-03,16589,2054,35,0
2021-12-04,10002,1027,25,0
2021-12-05,5632,586,17,0
2021-12-06,21390,2713,63,1
2021-12-07,23917,2995,52,0
2021-12-08,25056,3223,62,1
2021-12-09,29185,3638,61,1
2021-12-10,25916,3010,50,0
2021-12-11,15443,1467,31,0
2021-12-12,8600,812,13,1
2021-12-13,27947,3450,81,0
2021-12-14,27472,3273,67,0
2021-12-15,26234,2794,69,2
2021-12-16,11217,1112,25,0
2021-12-17,20475,2128,55,0
2021-12-18,10795,1019,28,0
2021-12-19,6862,596,11,1
2021-12-20,22080,2405,45,2
2021-12-21,21198,2263,44,0
2021-12-22,19173,2109,52,0
2021-12-23,16000,1774,28,0
2021-12-24,11345,1088,22,1
2021-12-25,3653,296,6,0
2021-12-26,4265,361,5,0
2021-12-27,5479,433,10,0
2021-12-28,13322,1212,31,0
2021-12-29,11834,1108,22,1
2021-12-30,10616,942,24,0
2021-12-31,7877,661,18,0
2022-01-01,2724,214,3,0
2022-01-02,3542,264,6,0
2022-01-03,11545,1102,25,0
2022-01-04,10106,975,25,0
2022-01-05,8899,839,17,0
2022-01-06,7785,747,24,0
2022-01-07,6627,614,15,0
2022-01-08,3239,273,6,0
2022-01-09,2178,169,2,0
2022-01-10,7105,732,18,0
2022-01-11,5732,530,15,1
2022-01-12,4829,435,10,0
2022-01-13,4404,343,10,0
2022-01-14,3762,324,5,0
2022-01-15,1860,147,1,0
2022-01-16,1389,97,3,0
2022-01-17,4435,369,10,0
2022-01-18,3634,327,4,0
2022-01-19,3294,272,6,0
2022-01-20,3052,250,6,0
2022-01-21,2823,245,3,0
2022-01-22,1475,121,1,0
2022-01-23,1238,94,1,0
2022-01-24,4449,411,6,0
2022-01-25,4045,390,2,0
2022-01-26,3681,369,9,0
2022-01-27,3401,350,10,0
2022-01-28,2994,312,4,0
2022-01-29,1628,155,1,0
2022-01-30,1144,110,2,0
2022-01-31,4735,523,6,1
