"province","agegrp5","sex","no_reinf","reinf","total"
"KWAZULU-NATAL","UNKNOWN","F",3601,0,3601
"KWAZULU-NATAL","UNKNOWN","M",2756,1,2757
"KWAZULU-NATAL","UNKNOWN","U",890,0,890
"KWAZULU-NATAL","(0,5]","F",4431,14,4445
"KWAZULU-NATAL","(0,5]","M",4476,13,4489
"KWAZULU-NATAL","(0,5]","U",372,0,372
"KWAZULU-NATAL","(10,15]","F",12828,87,12915
"KWAZULU-NATAL","(10,15]","M",10544,58,10602
"KWAZULU-NATAL","(10,15]","U",882,2,884
"KWAZULU-NATAL","(15,20]","F",18245,170,18415
"KWAZULU-NATAL","(15,20]","M",12315,87,12402
"KWAZULU-NATAL","(15,20]","U",946,2,948
"KWAZULU-NATAL","(20,25]","F",20148,247,20395
"KWAZULU-NATAL","(20,25]","M",13398,179,13577
"KWAZULU-NATAL","(20,25]","U",889,1,890
"KWAZULU-NATAL","(25,30]","F",26870,490,27360
"KWAZULU-NATAL","(25,30]","M",17496,281,17777
"KWAZULU-NATAL","(25,30]","U",986,1,987
"KWAZULU-NATAL","(30,35]","F",29653,527,30180
"KWAZULU-NATAL","(30,35]","M",19160,311,19471
"KWAZULU-NATAL","(30,35]","U",1035,4,1039
"KWAZULU-NATAL","(35,40]","F",28061,442,28503
"KWAZULU-NATAL","(35,40]","M",19380,249,19629
"KWAZULU-NATAL","(35,40]","U",919,0,919
"KWAZULU-NATAL","(40,45]","F",24230,376,24606
"KWAZULU-NATAL","(40,45]","M",17276,197,17473
"KWAZULU-NATAL","(40,45]","U",772,0,772
"KWAZULU-NATAL","(45,50]","F",23047,272,23319
"KWAZULU-NATAL","(45,50]","M",16444,176,16620
"KWAZULU-NATAL","(45,50]","U",755,2,757
"KWAZULU-NATAL","(5,10]","F",7309,24,7333
"KWAZULU-NATAL","(5,10]","M",6722,30,6752
"KWAZULU-NATAL","(5,10]","U",638,0,638
"KWAZULU-NATAL","(50,55]","F",21147,236,21383
"KWAZULU-NATAL","(50,55]","M",14269,153,14422
"KWAZULU-NATAL","(50,55]","U",662,1,663
"KWAZULU-NATAL","(55,60]","F",17863,150,18013
